date,ovx_level,gate_hmm_no_scaleup,gate_hmm_with_scaleup,state,prob_calm,prob_stress
2007-05-10,27.09,1.0,1.0850501210613965,1,1.0,1.4771115664001358e-34
2007-05-11,26.41,1.0,1.0961967111939728,1,0.9999952544989177,4.745500209901549e-06
2007-05-14,27.23,1.0,1.0909927710205802,1,0.9999950628147424,4.937185843361304e-06
2007-05-15,27.89,1.0,1.0832643045115675,1,0.9999950200323238,4.979968578619607e-06
2007-05-16,27.07,1.0,1.0837497243391245,1,0.999995024547033,4.975453207447817e-06
2007-05-17,24.86,1.0,1.0991878532899026,1,0.9999951209657292,4.879033636738195e-06
2007-05-18,24.71,1.0,1.1112955083354452,1,0.9999952110070884,4.788992670386938e-06
2007-05-21,24.67,1.0,1.1290577733983373,1,0.9999952866985159,4.71330184760426e-06
2007-05-22,26.03,1.0,1.1410933939372434,1,0.9999953048883243,4.695111730097863e-06
2007-05-23,26.35,1.0,1.1458271160642757,1,0.9999953081024635,4.6918982893199285e-06
2007-05-24,26.63,1.0,1.1333827041792695,1,0.9999953018961009,4.698104806451765e-06
2007-05-25,25.81,1.0,1.1253843130189776,1,0.9999953212173157,4.6787831283602725e-06
2007-05-29,27.83,1.0,1.1038864478474426,1,0.9999952692999644,4.7307001650768224e-06
2007-05-30,28.61,1.0,1.0875714998936348,1,0.9999951890319829,4.810967953160848e-06
2007-05-31,28.44,1.0,1.0744287533689503,1,0.9999951192449736,4.880754227751058e-06
2007-06-01,27.39,1.0,1.0695314327032002,1,0.999995096540459,4.903460157649582e-06
2007-06-04,27.36,1.0,1.0592485983269764,1,0.9999950796585012,4.920340759161619e-06
2007-06-05,26.7,1.0,1.066409409409577,1,0.9999950925823574,4.907417998004342e-06
2007-06-06,25.94,1.0,1.0833460270510091,1,0.9999951350482765,4.864951158535481e-06
2007-06-07,26.11,1.0,1.0981188161231112,1,0.9999951662346986,4.833765657931181e-06
2007-06-08,26.51,1.0,1.1038124708553068,1,0.9999951788256826,4.82117501645822e-06
2007-06-11,25.99,1.0,1.1128446018580742,1,0.9999952023469214,4.797653957943746e-06
2007-06-12,25.81,1.0,1.1188803368999174,1,0.9999952792279616,4.720771600995528e-06
2007-06-13,26.07,1.0,1.1179836098442288,1,0.9999953425448669,4.657455895778797e-06
2007-06-14,26.35,1.0,1.116353567296811,1,0.9999953463010625,4.653698093678776e-06
2007-06-15,26.41,1.0,1.1170221522176245,1,0.9999952395723616,4.760428465741005e-06
2007-06-18,27.15,1.0,1.1093212066589007,1,0.9999949649899801,5.0350094117411805e-06
2007-06-19,26.72,1.0,1.1031539993854231,1,0.9999946658605425,5.3341400368525525e-06
2007-06-20,27.14,1.0,1.0960677825494196,1,0.9999944479977295,5.552001443992773e-06
2007-06-21,28.0,1.0,1.0855449631908805,1,0.9999940865502361,5.913448983321604e-06
2007-06-22,28.16,1.0,1.0744642612328537,1,0.9999937082809652,6.291719045931278e-06
2007-06-25,28.01,1.0,1.0691268034349886,1,0.9999931747730532,6.825226861520109e-06
2007-06-26,27.79,1.0,1.062341985146693,1,0.9999932820945202,6.717904752975059e-06
2007-06-27,28.06,1.0,1.056639425778942,1,0.9999935088500607,6.491149598352226e-06
2007-06-28,27.95,1.0,1.0569418392345202,1,0.9999936841267572,6.315872696224593e-06
2007-06-29,27.44,1.0,1.0613466781503462,1,0.9999937402276756,6.25977317206823e-06
2007-07-02,27.52,1.0,1.0643509944419858,1,0.9999937510087584,6.248991936609798e-06
2007-07-03,27.45,1.0,1.0664552918017756,1,0.9999936286351995,6.371365593089967e-06
2007-07-05,27.33,1.0,1.0709518555153588,1,0.9999933585152116,6.641485170986458e-06
2007-07-06,27.4,1.0,1.0743438720868983,1,0.9999930920860007,6.907914147492354e-06
2007-07-09,28.25,1.0,1.0694026521073952,1,0.999992642309518,7.35769103089002e-06
2007-07-10,27.37,1.0,1.070341677089702,1,0.9999923497527337,7.650247106925142e-06
2007-07-11,27.69,1.0,1.068851461987249,1,0.9999918743836117,8.125615621811843e-06
2007-07-12,27.35,1.0,1.0687253925795344,1,0.9999916764464507,8.323553053663895e-06
2007-07-13,27.06,1.0,1.0708842520256352,1,0.9999917385662427,8.261434330356114e-06
2007-07-16,28.0,1.0,1.0723818582803926,1,0.9999914046535343,8.595347134683657e-06
2007-07-17,27.46,1.0,1.0718173352965379,1,0.9999916370638398,8.362935674578833e-06
2007-07-18,27.91,1.0,1.0704715841878876,1,0.999991502363353,8.497636710885667e-06
2007-07-19,27.4,1.0,1.0701571354435075,1,0.9999918166566347,8.183342755825029e-06
2007-07-20,26.69,1.0,1.0725626541927689,1,0.999992677484877,7.322514793229146e-06
2007-07-23,27.09,1.0,1.0782234949066847,1,0.9999932391084524,6.760891602877222e-06
2007-07-24,27.42,1.0,1.0784739822455451,1,0.9999935344521707,6.465548234602818e-06
2007-07-25,26.84,1.0,1.0852053403600508,1,0.9999938593452772,6.140655168203862e-06
2007-07-26,27.79,1.0,1.0827876254233566,1,0.9999939487898979,6.051209685022205e-06
2007-07-27,27.25,1.0,1.0791697081487057,1,0.9999940801092329,5.919890729629617e-06
2007-07-30,30.16,0.9991507423804669,1.061310426316893,1,0.9999933443544733,6.65564635588811e-06
2007-07-31,30.69,0.9955453180940023,1.0427868789809611,1,0.9999922516444766,7.748356305331911e-06
2007-08-01,29.73,0.9955453180940023,1.0256130539515917,1,0.999991373503609,8.62649698855522e-06
2007-08-02,29.68,0.9955453180940023,1.0147103708112615,1,0.9999904147412148,9.585258698960497e-06
2007-08-03,29.32,0.9955453180940023,1.0024225466575585,1,0.9999895227395871,1.0477260355528655e-05
2007-08-06,32.49,0.9840353560485028,0.990912584612059,1,0.9999866614669477,1.333853235238274e-05
2007-08-07,29.48,0.9876407803349674,0.997335317867557,1,0.9999858068156277,1.4193183817943984e-05
2007-08-08,27.07,0.9876407803349674,1.0130218357748177,1,0.9999875568147408,1.244318472245647e-05
2007-08-09,29.73,0.9876407803349674,1.0127503831489704,1,0.9999863747398757,1.36252600696174e-05
2007-08-10,30.87,0.9831186943134445,1.0045260468349582,1,0.9999830197198324,1.6980280627500733e-05
2007-08-13,30.82,0.9912094895036182,1.012616842025132,1,0.9999782921686939,2.1707831615502404e-05
2007-08-14,30.23,0.989991226710219,1.0085812702626993,1,0.999958176714838,4.18232849401978e-05
2007-08-15,31.14,0.9841120447755649,0.9855638075981747,1,0.9998253428823899,0.0001746571167174249
2007-08-16,37.02,0.9531475234984168,0.9531475234984168,1,0.9989885452215655,0.0010114547775552111
2007-08-17,35.46,0.9326284994009317,0.9326284994009317,1,0.9966131513383035,0.0033868486608509716
2007-08-20,34.16,0.9171624621993846,0.9171624621993846,1,0.9933570852768768,0.006642914722431568
2007-08-21,34.33,0.8979317780979166,0.8979317780979166,1,0.990795091931576,0.009204908068061174
2007-08-22,31.93,0.8940798850946058,0.8940798850946058,1,0.9900581049892516,0.009941895010905463
2007-08-23,29.85,0.925044406371754,0.9258480232519389,1,0.9912263461088319,0.00877365389054805
2007-08-24,28.67,0.950085516490762,0.958277716764431,1,0.993876439758874,0.006123560241258681
2007-08-27,28.98,0.9698199781671679,0.9836241012802567,1,0.9970592761734286,0.0029407238271516208
2007-08-28,28.81,0.9902689250620351,1.010655007806869,1,0.9990448541428186,0.0009551458568359159
2007-08-29,28.88,1.0,1.0265673707532184,1,0.9997493611802674,0.0002506388193312639
2007-08-30,28.99,1.0,1.0313189346589642,1,0.9999305793894723,6.94206099856211e-05
2007-08-31,28.86,1.0,1.030225938374954,1,0.9999704090236172,2.959097689318276e-05
2007-09-04,29.49,1.0,1.0273763026836396,1,0.9999826764169367,1.732358328775049e-05
2007-09-05,30.29,0.9984666690349453,1.0192610120868397,1,0.9999840537600856,1.5946239281736114e-05
2007-09-06,31.11,0.9927372283583977,1.0073502834019077,1,0.9999809029109181,1.9097088805889244e-05
2007-09-07,31.39,0.9856202259918314,0.9946781002494104,1,0.9999802518363159,1.9748162837395956e-05
2007-09-10,30.82,0.9813518015169725,0.9841140886650777,1,0.9999820712843893,1.7928715215337684e-05
2007-09-11,31.3,0.9746783642361108,0.9746783642361105,1,0.9999831680413588,1.6831958213174346e-05
2007-09-12,30.25,0.9748882847009085,0.9748882847009085,1,0.9999847315977264,1.5268402416638197e-05
2007-09-13,30.37,0.978666046824412,0.978666046824412,1,0.9999867894438863,1.3210555964516848e-05
2007-09-14,29.37,0.9857830491909783,0.9892078232116859,1,0.999991022116148,8.977883598221201e-06
2007-09-17,29.72,0.9900514736658369,0.9949822352696959,1,0.9999924059736296,7.594025977977459e-06
2007-09-18,29.77,0.9967249109466989,1.00289086422623,1,0.9999927885861234,7.211413671962787e-06
2007-09-19,28.93,0.9980483214469558,1.0101104373326188,1,0.9999928575708014,7.142428807083127e-06
2007-09-20,30.57,0.9970110784917562,1.0090731943774192,1,0.999992814331914,7.185667304029903e-06
2007-09-21,30.3,0.9954253453564164,1.0040626872213718,1,0.9999928817431792,7.1182573431691e-06
2007-09-24,29.19,0.9954253453564164,1.006984390693734,1,0.9999930084912856,6.99150811366186e-06
2007-09-25,28.79,0.9954253453564164,1.0124459582956091,1,0.9999931368637545,6.863137099339229e-06
2007-09-26,28.4,0.9954253453564164,1.0155142068097462,1,0.9999932845192169,6.715480074698545e-06
2007-09-27,27.77,0.9984142668646602,1.0312515249058531,1,0.9999934741421498,6.525858022700812e-06
2007-09-28,29.32,1.0,1.0365395083336824,1,0.9999934555467426,6.5444534977412775e-06
2007-10-01,30.53,0.9972175484870446,1.0293293657652138,1,0.9999931990618532,6.800937249901186e-06
2007-10-02,30.74,0.9933565268798492,1.018771584880471,1,0.9999928905270166,7.109472899351272e-06
2007-10-03,30.62,0.9901102007081833,1.0065608475885361,1,0.9999927061301127,7.293870184760174e-06
2007-10-04,30.12,0.9894724961391445,0.993174746431634,1,0.9999927737687426,7.2262303610725635e-06
2007-10-05,29.57,0.9894724961391445,0.9917958147048941,1,0.9999929577418374,7.04225772717858e-06
2007-10-08,31.07,0.9867255667749737,0.9890488853407232,1,0.9999927695050623,7.230495747949136e-06
2007-10-09,30.59,0.9874946141311403,0.9898179326968899,1,0.9999927246964023,7.275303718867621e-06
2007-10-10,30.24,0.9894700880089978,0.9917934065747473,1,0.999992662123624,7.337876729609183e-06
2007-10-11,29.2,0.9901077925780367,0.9968027926943785,1,0.9999928355484542,7.164452178873399e-06
2007-10-12,28.61,0.9901077925780367,1.0022159277106328,1,0.9999930132915651,6.986707639102164e-06
2007-10-15,28.4,0.9956371734551628,1.0167097197080284,1,0.9999932168478108,6.783152548615712e-06
2007-10-16,29.8,0.9987291477061916,1.020874800701778,1,0.9999931365327007,6.863467663559656e-06
2007-10-17,31.66,0.991565929417999,1.0137115824135852,1,0.9999925201561909,7.479843991502575e-06
2007-10-18,32.04,0.981312088507373,0.9990860599523671,1,0.9999918989070279,8.101092608781149e-06
2007-10-19,32.39,0.9694161795433102,0.9794536974063004,1,0.9999909802652164,9.019734129607302e-06
2007-10-22,32.27,0.9580796535237379,0.9591527602664588,1,0.9999895125988274,1.048740147479604e-05
2007-10-23,32.15,0.9473062672670831,0.947306267267083,1,0.9999873369744412,1.2663025603353051e-05
2007-10-24,31.34,0.948869477466691,0.948869477466691,1,0.999982601237591,1.7398762352374206e-05
2007-10-25,31.11,0.9533938777007697,0.9533938777007697,1,0.9999515204018437,4.847959843758659e-05
2007-10-26,32.74,0.9517834411549518,0.9517834411549521,1,0.9996937716062662,0.00030622839409822223
2007-10-29,32.61,0.95020815157581,0.95020815157581,1,0.9977663555827877,0.002233644417614215
2007-10-30,34.65,0.9392048080541215,0.9392048080541215,1,0.9841393979840624,0.015860602015099232
2007-10-31,37.46,0.9135208986953496,0.9135208986953494,1,0.9071182882117205,0.09288171178744715
2007-11-01,39.71,0.8790614941896923,0.8790614941896923,1,0.644784530768708,0.3552154692312404
2007-11-02,39.99,0.8588615792704217,0.8588615792704217,0,0.26010340568867324,0.7398965943108495
2007-11-05,40.14,0.8376678459113858,0.8376678459113858,0,0.05217151052472948,0.9478284894746389
2007-11-06,41.2,0.8225856529631855,0.8225856529631855,0,0.003862432171024051,0.9961375678296106
2007-11-07,41.37,0.8178507226994183,0.8178507226994183,0,9.41266323626004e-05,0.9999058733674654
2007-11-08,40.84,0.8221025868340742,0.8221025868340742,0,1.4926693448772706e-06,0.9999985073311335
2007-11-09,37.06,0.8304292169338112,0.8304292169338112,0,5.286975253779609e-07,0.9999994713017747
2007-11-12,39.65,0.8317427313286322,0.8317427313286322,0,1.7951864811262171e-07,0.9999998204821329
2007-11-13,38.69,0.8384619308710048,0.8384619308710046,0,1.1028671456479636e-07,0.9999998897128596
2007-11-14,35.8,0.8542938210288069,0.8542938210288067,0,2.0843319035104934e-07,0.999999791567483
2007-11-15,34.56,0.8728603463554648,0.8728603463554647,0,5.195316797348033e-07,0.9999994804676575
2007-11-16,32.72,0.8873992941151103,0.8873992941151103,0,1.820156595251975e-06,0.9999981798426427
2007-11-19,31.45,0.9142205881682862,0.9142205881682862,0,6.575516384971639e-06,0.9999934244840644
2007-11-20,33.94,0.9291250959727014,0.9291250959727012,0,1.3339241637206989e-05,0.9999866607575513
2007-11-21,34.38,0.933825841636428,0.9338258416364278,0,3.178956695458773e-05,0.9999682104331279
2007-11-23,36.08,0.9288475578581545,0.9288475578581548,0,0.00015466002031433142,0.999845339979731
2007-11-26,35.95,0.9177517297173235,0.9177517297173235,0,0.0013277189957415028,0.998672281003537
2007-11-27,34.34,0.9071024319503842,0.9071024319503842,0,0.010474734427981131,0.9895252655727672
