Date,Regime,prob_bull,gate_continuous,gate_smoothed,oil_return,slope
2003-01-31,1,1.0,1.0,0.9999067730686043,-0.008025009630435046,0.10265592360489421
2003-02-03,1,0.9998443353931853,0.9998443353931853,0.999914766375128,-0.020196617164991368,0.12241169305724713
2003-02-04,1,0.9998759838126277,0.9998759838126277,0.999921838382033,0.02317635715278674,0.10711097887533477
2003-02-05,1,0.9999387462946989,0.9999387462946989,0.9999093093455593,0.008886314400532757,0.11353583013860223
2003-02-06,1,0.9999501264096529,0.9999501264096529,0.9998664050435199,0.013183140978507524,0.0820721769499418
2003-02-07,1,0.999937354817632,0.999937354817632,0.9995424124514877,0.019882516364544488,0.05021398002853082
2003-02-10,1,0.9996298138829877,0.9996298138829877,0.9977134119320802,-0.01697638238081538,0.09895531050493316
2003-02-11,1,0.9982560208524662,0.9982560208524662,0.9828828931623572,0.027759687777596957,0.017499294383290925
2003-02-12,1,0.9907937436976617,0.9907937436976617,0.9014916668772412,0.011226612439481788,-0.011722020653084055
2003-02-13,1,0.9257975325610385,0.9257975325610385,0.7349211750423186,0.022082045473860695,-0.0466830466830467
2003-02-14,1,0.5929812233920522,0.5929812233920522,0.537908517682985,-0.0005461496585782439,-0.13821360284075385
2003-02-18,0,0.16677735470837385,0.16677735470837385,0.3398350571730432,0.007347971556248333,-0.18627982646420826
2003-02-19,0,0.013192734055798704,0.013192734055798704,0.15479334971882502,0.003788908456958301,-0.226904376012966
2003-02-20,0,0.00042644114795254947,0.00042644114795254947,0.03647954352078251,-0.015516848690684244,-0.25432098765432104
2003-02-21,0,0.0005889952899478713,0.0005889952899478713,0.00323476378885734,0.008468839032819055,-0.19722524483133833
2003-02-24,0,0.0014121924018395838,0.0014121924018395838,0.0006439243344692476,0.014314896703243245,-0.1037811745776347
2003-02-25,0,0.0005534560487479909,0.0005534560487479909,0.0006627523656255332,-0.033540976415558164,-0.20382695507487522
2003-02-26,0,0.00023853678385824258,0.00023853678385824258,0.0008394918677111596,0.05134875596655586,-0.20152792413066392
2003-02-27,0,0.0005205813037339775,0.0005205813037339775,0.000729790965709699,-0.030220243284753208,-0.17974477328264996
2003-02-28,0,0.0014726928003760025,0.0014726928003760025,0.0007096107096081835,-0.0019024329694875902,-0.15288356909684434
2003-03-03,0,0.0008636878918322813,0.0008636878918322813,0.0007351504647342505,-0.01811743214865098,-0.18337950138504158
2003-03-04,0,0.00045255476824041316,0.00045255476824041316,0.0006622540542217127,0.02327278205537565,-0.22733423545331533
2003-03-05,0,0.0003662355594885778,0.0003662355594885778,0.0003747130743969551,-0.0024386951525336986,-0.21188279978296254
2003-03-06,0,0.00015609925117128878,0.00015609925117128878,0.0002059272068564518,0.009450590116853941,-0.23649556570814298
2003-03-07,0,3.4987901252214306e-05,3.4987901252214306e-05,0.00013000470474931202,0.014672798918768819,-0.2648305084745762
2003-03-10,0,1.9758554129764822e-05,1.9758554129764822e-05,5.7710025492806184e-05,-0.015479358984001969,-0.2477138246369016
2003-03-11,0,7.294225770471439e-05,7.294225770471439e-05,2.6528490332719097e-05,-0.010001434902368085,-0.21407226297201853
2003-03-12,0,4.762163206048622e-06,4.762163206048622e-06,2.0343390404084e-05,0.028389694522773647,-0.2817533667810932
2003-03-13,0,1.9157537085333695e-07,1.9157537085333695e-07,1.922720666107951e-05,-0.04925237818274543,-0.21553398058252418
2003-03-14,0,4.062401609038827e-06,4.062401609038827e-06,4.638755127519408e-06,-0.017912597607145777,-0.1976842699802315
2003-03-17,0,1.4177635414742356e-05,1.4177635414742356e-05,3.686429279821538e-06,-0.013934535152410783,-0.15635738831615123
2003-03-18,0,3.69138845817108e-14,3.69138845817108e-14,3.648209048972073e-06,-0.10148614198417928,-0.07575277337559432
2003-03-19,0,5.33967559268477e-10,5.33967559268477e-10,2.8357313531961393e-06,-0.050042929534946386,0.0029990003332222544
2003-03-20,0,4.742166060169826e-10,4.742166060169826e-10,2.042702525288591e-10,-0.04742488532397095,0.07477288609364083
2003-03-21,0,1.31301591576283e-11,1.31301591576283e-11,2.0426286975194277e-10,-0.05162436540530718,0.10080941869021347
2003-03-24,0,2.4303073196376147e-17,2.4303073196376147e-17,9.746935789824734e-11,0.08224778023185042,-0.04981362250084725
2003-03-25,0,1.1929585633007261e-25,1.1929585633007261e-25,2.6260366948508287e-12,0.12442533421239971,-0.17654099341711554
2003-03-26,0,5.827486191557712e-41,5.827486191557712e-41,4.863325168745606e-18,-0.15190902903427506,-0.0971786833855799
2003-03-27,0,3.724671482870871e-29,3.724671482870871e-29,2.7105301886932835e-21,0.05423219693673915,-0.16694160343121078
2003-03-28,0,8.627106637085284e-28,8.627106637085284e-28,2.710506330029457e-21,-0.0033046956711311514,-0.1618669314796425
2003-03-31,0,3.591583902979729e-27,3.591583902979729e-27,2.7105063332393553e-21,0.03032017100727157,-0.16217084136159282
2003-04-01,0,2.5371987402541443e-30,2.5371987402541443e-30,2.7105063579902243e-21,-0.05478109908471638,-0.11635006784260514
2003-04-02,0,1.6049490892357377e-29,1.6049490892357377e-29,2.7105061866277505e-21,-0.03205513121911663,-0.09842381786339763
2003-04-03,0,1.610010608841569e-28,1.610010608841569e-28,2.7105054765476277e-21,0.017361547195901026,-0.09018932874354564
2003-04-04,0,5.898292000917576e-30,5.898292000917576e-30,2.7105056169976247e-21,-0.022277287431823667,-0.09714889123548053
2003-04-07,0,4.1183292018439423e-29,4.1183292018439423e-29,2.7105056416717503e-21,-0.023145060227492752,-0.05475504322766581
