date,EWJ,FEZ,SPY
2004-03-01 16:00:00,0.0,0.0,0.0
2004-03-02 16:00:00,0.09994522028314681,0.14238765447794158,0.15788147209545492
2004-03-03 16:00:00,0.11836733847783844,0.16777592024650048,0.1869141179263934
2004-03-04 16:00:00,0.1422171990089366,0.19925060896599342,0.2242717724644715
2004-03-05 16:00:00,0.16309348633118115,0.2249829560747859,0.2570541428311245
2004-03-08 16:00:00,0.1582599488359631,0.2182954341976295,0.24628098292994752
2004-03-09 16:00:00,0.14993655300064762,0.20161545940842857,0.23222607932888553
2004-03-10 16:00:00,0.13889512953361063,0.18440265547876608,0.20859575639173783
2004-03-11 16:00:00,0.1353161542536865,0.17934366646557454,0.1980846730793763
2004-03-12 16:00:00,0.14422118187067653,0.19139267897725482,0.20834802475604444
2004-03-15 16:00:00,0.14017532375389535,0.17730355221627433,0.19631914849498863
2004-03-16 16:00:00,0.14470143858917325,0.18656836022378784,0.20569234768672023
2004-03-17 16:00:00,0.1380638596588413,0.18168691881762072,0.20458702814918475
2004-03-18 16:00:00,0.14317022735249313,0.18880805979220186,0.21300878762849537
2004-03-19 16:00:00,0.13895930253519687,0.18179384155306066,0.2059593248856105
2004-03-22 16:00:00,0.13768632591689434,0.17939912740953576,0.20052984224348996
2004-03-23 16:00:00,0.1412741234362855,0.18548184152175393,0.2079916623230818
2004-03-24 16:00:00,0.14499490841102605,0.19035358269337635,0.21756981172045078
2004-03-25 16:00:00,0.13895359542948224,0.1842520121288939,0.20960639382066013
2004-03-26 16:00:00,0.14293231877787071,0.19008672104911323,0.21634119133403254
2004-03-29 16:00:00,0.14624428168733897,0.1912937575228081,0.2175676221845673
2004-03-30 16:00:00,0.1496482290154229,0.19653044142286938,0.22300683767194968
2004-03-31 16:00:00,0.15355706045189194,0.2015311168979804,0.22946262643707901
2004-04-01 16:00:00,0.1407909532474003,0.21962920570057662,0.23651193850726138
2004-04-02 16:00:00,0.14398963695873937,0.2245139592491689,0.24023622583155346
2004-04-05 16:00:00,0.14790408844805883,0.23070749361513979,0.24486029925602126
2004-04-06 16:00:00,0.14986844091501642,0.23282134540755714,0.24816629106239285
2004-04-07 16:00:00,0.15249276895701913,0.23760517794815808,0.25247713900148694
2004-04-08 16:00:00,0.1544989478371374,0.23942156103873669,0.2559480069469164
2004-04-12 16:00:00,0.15333451144218044,0.24142586482458975,0.25824501886853307
2004-04-13 16:00:00,0.1481774526804232,0.23324688870920934,0.24713948867321764
2004-04-14 16:00:00,0.14945665290257168,0.23734908457957601,0.2517994633373205
2004-04-15 16:00:00,0.1515653082684085,0.24297206918882305,0.25805208495749116
2004-04-16 16:00:00,0.1530337433269421,0.24709325141882457,0.261584325155427
2004-04-19 16:00:00,0.1551500257029755,0.25281096827760263,0.2682663539926073
2004-04-20 16:00:00,0.158400275726361,0.25751151671585265,0.2651293155044692
2004-04-21 16:00:00,0.16171903103184448,0.2624776352277132,0.26983331351350115
2004-04-22 16:00:00,0.15874986966510438,0.25440100121359205,0.2587688992128146
2004-04-23 16:00:00,0.1613886002996617,0.2581569476648576,0.2635512116803944
2004-04-26 16:00:00,0.1643673880338952,0.2627076439388765,0.2677143964567203
2004-04-27 16:00:00,0.16720233928523007,0.266649490190098,0.27257162241408206
2004-04-28 16:00:00,0.156819043324348,0.25147844642811495,0.25789392456772603
2004-04-29 16:00:00,0.1595353298827266,0.25492532566650755,0.261206441257477
2004-04-30 16:00:00,0.16179563224400895,0.2598683498871958,0.2650176509377938
2004-05-03 16:00:00,0.21731666856166235,0.22217661816875128,0.21890359007061597
2004-05-04 16:00:00,0.21427941000561795,0.2187318159410003,0.21781548478877794
2004-05-05 16:00:00,0.2118977583062965,0.2153384524718311,0.21729504915277667
2004-05-06 16:00:00,0.20002376879256117,0.19958380708157542,0.21271921152420992
2004-05-07 16:00:00,0.1903026464876386,0.19066360087927015,0.20556227981034703
2004-05-10 16:00:00,0.16874720429891163,0.18943607682428917,0.2039328356750457
2004-05-11 16:00:00,0.16327334641319788,0.1843043009604101,0.19813804971943846
2004-05-12 16:00:00,0.16447484519586686,0.1862924872348264,0.20094194431106993
2004-05-13 16:00:00,0.1661437757379858,0.19071363360853705,0.20588438889483507
2004-05-14 16:00:00,0.16856767448786705,0.19460734763652565,0.210056433152206
2004-05-17 16:00:00,0.1696364170824495,0.19948547379468334,0.21196131918866282
2004-05-18 16:00:00,0.1657978644257105,0.19864599050471432,0.2093681252530885
2004-05-19 16:00:00,0.16274198136620494,0.1967047456400996,0.20866572621990823
2004-05-20 16:00:00,0.1643594359079262,0.19906470368691012,0.2111401217119681
2004-05-21 16:00:00,0.16491044051645112,0.2011770397447526,0.21313835082795693
2004-05-24 16:00:00,0.1667834195473119,0.20045540036484227,0.21555244140518273
2004-05-25 16:00:00,0.16102518614245948,0.19131444746660312,0.20236686218697425
2004-05-26 16:00:00,0.1637799846726711,0.19470080000649884,0.2059177568610333
2004-05-27 16:00:00,0.16189112068800465,0.18987917673626775,0.20444124792784252
2004-05-28 16:00:00,0.16464568389733225,0.19298077131782762,0.20831537648563442
2004-06-01 16:00:00,0.1975881086082793,0.15512361267745908,0.19572989933122992
2004-06-02 16:00:00,0.19907422968955302,0.1558305578241932,0.1972485231889377
2004-06-03 16:00:00,0.1967496041016352,0.15734374147140603,0.19780178686584976
2004-06-04 16:00:00,0.1965334113511483,0.15486470063182037,0.1973485312141258
2004-06-07 16:00:00,0.18246215216623474,0.1474785690770368,0.18548312431272856
2004-06-08 16:00:00,0.18553419187543918,0.14930075654926517,0.18860401252595374
