sensitivity,smooth_window,train_sharpe,train_return,train_vol,train_dd,train_turnover,val_sharpe,val_return,val_vol,val_dd,val_turnover,test_sharpe,test_return,test_vol,test_dd,test_turnover
BASELINE,N/A,0.2355472741849956,0.007245364395362053,0.03075970384472224,0.12028689324390433,0.47176299883399125,0.07794323084123894,0.0025235667084271274,0.03237698362244351,0.059717876733517916,0.6316190629919026,0.396235665788511,0.010054180376144028,0.025374243775194136,0.044415466721884574,0.44198826923681983
0.75,5,0.23638953471516444,0.00552277847549032,0.02336304135521458,0.08338766505409705,0.5929861204079587,0.8010751160429765,0.014556101005552824,0.018170706734038547,0.018705041663047425,0.6727804477113192,0.3826846052362386,0.009528750005987519,0.024899747404537573,0.04556557753378732,0.6010689163255429
0.75,10,0.2047808384241869,0.004836697278084223,0.02361889576829155,0.0933179125586392,0.5414810419020359,0.8900011077382933,0.016794649583371513,0.0188703693033043,0.018506018423617765,0.6339091464898632,0.38488436534716436,0.009627729613039593,0.025014603033707058,0.045209412791914205,0.5548131866420919
0.75,20,0.16952241581437671,0.004065263518245654,0.02398068419870224,0.09956317508706597,0.5406953698672748,0.7761870067482926,0.014810699170456632,0.019081354160389277,0.018506018423616776,0.5806567682306136,0.39761841216882676,0.010047195181688284,0.025268435450173005,0.04441546672188535,0.5363142690240857
0.75,30,0.21068387652488493,0.005160554128606387,0.024494300246069606,0.09520999311112928,0.495930482516056,0.3315084834946715,0.006661653307757254,0.020094970836136476,0.04086554538020704,0.5876694009609061,0.4080297603830892,0.010333593080071646,0.025325586717914125,0.04441546672188465,0.4966187889808571
1.0,5,0.23449145817962389,0.00532419960610242,0.022705302988154073,0.07735191472617567,0.7403980036514828,0.8786429399720053,0.015560048772867763,0.01770918317896406,0.01474102559305768,0.8561137575378734,0.42370911018426405,0.010417202002711567,0.024585739962450417,0.04441546672188526,0.6046750956450477
1.0,10,0.2444056514421017,0.0055890035316945585,0.022867734435423077,0.07388759203260009,0.6275304908560744,0.8704538547855517,0.015533571215831321,0.01784537012551714,0.015551008415441119,0.751300448648965,0.45606351899212405,0.011303505555085414,0.024784936931736078,0.04441546672188513,0.5658800766811527
1.0,20,0.18760021143654274,0.004338463515910718,0.023126112079986848,0.08134144014299266,0.536167327070463,0.8257074548950375,0.015073772621054582,0.01825558499162483,0.016586699598696603,0.578344058284425,0.45008456787111045,0.011282749404441184,0.025068065447807566,0.04441546672188475,0.5703841004103577
1.0,30,0.1783813326506306,0.0041822717592556735,0.02344568065004244,0.09124877941411189,0.5034448740768036,0.6396116445843776,0.012408516616354115,0.019400079284699737,0.02432293474048249,0.5816056244337852,0.3883328009742339,0.009826960271498208,0.025305511784852377,0.04449221109114873,0.501008064141327
1.25,5,0.2033671745496735,0.0044781166081535595,0.022019859488482767,0.07719422206125262,0.7341978039212544,0.7451248668277319,0.012558631379833818,0.016854398422240943,0.017350279534833396,1.147114539968895,0.3339022797332283,0.008039591025280401,0.024077676354002868,0.04461721713426571,0.9742398795600543
1.25,10,0.24861984081727395,0.005528811474258211,0.022238013893354856,0.06583756995002357,0.6867052908637139,0.8562853563780363,0.014842910804604426,0.017334070580615556,0.016080265104221645,0.9288184539623996,0.41291825678912764,0.010080826719659486,0.024413613478969136,0.04441546672188416,0.7426076865488466
1.25,20,0.2382968351457574,0.005398776804974581,0.022655679844309926,0.07007863815642162,0.5759657677617902,0.8796694855235545,0.01593901748237747,0.01811932520643366,0.015551008415441946,0.5771914389596736,0.5084748304275847,0.012651708730206934,0.0248816813991912,0.04441546672188418,0.592858440156437
1.25,30,0.23131931881248657,0.00532483537466466,0.023019414902311335,0.07567065898123261,0.5087926946877706,0.7474472168292785,0.013800816887382661,0.018463935080160785,0.02028669589076178,0.5797971562112423,0.4579189467077729,0.011489644226543305,0.025090999857395234,0.0444154667218841,0.5528220618348303
