period,days,sharpe,annual_return,annual_vol,max_drawdown,sortino,calmar,skewness,kurtosis,total_return,strategy
Full,4735,0.10886378901590826,0.0034318441400358578,0.031524202593521365,-0.12587948831126805,0.1280898637609992,0.027262933668349348,-0.8525460201452111,20.738919186395442,0.05668612754237068,Baseline
Full,4647,0.09814956753880863,0.002480487707020423,0.025272528134570038,-0.08904247368697937,0.12491837827763008,0.027857353960541904,-0.40050172629148634,6.835113755147907,0.04065568957611698,Formula_Conservative
Full,4647,0.15850717463009706,0.0034381608478630653,0.021690884692674557,-0.06366019543962387,0.19321383359354288,0.05400801590569825,-0.72284350509335,8.177505003716462,0.06083991990484683,Formula_Aggressive
Full,4647,0.09324172049189487,0.002651935434012097,0.028441511160689263,-0.10543827258068772,0.11243986458771545,0.025151544776899452,-0.7349157402813848,15.736013023645562,0.042309847672818535,HMM_Conservative
Full,4647,0.09592650384617052,0.0027431562724394357,0.02859643750634768,-0.10389325158674745,0.1158759766955861,0.026403603992979183,-0.731352638969747,15.396813462000356,0.04397951519243293,HMM_Aggressive
Full,4647,0.1152653233479759,0.0027041431261895016,0.023460161717726073,-0.08111901109646313,0.1444531677292954,0.033335504090081354,-0.5585651954036852,8.860433024008817,0.045807314038180724,HMM_Proper_Conservative
Full,4647,0.1265917045184554,0.0030821854379631886,0.024347451909961817,-0.0815240229894092,0.15887065986635715,0.037807082194209134,-0.568855153381646,7.932763453369347,0.052711208360383566,HMM_Proper_Aggressive
Train,2266,0.08218196870241402,0.0030324088444910586,0.03689871260533558,-0.11246322214344961,0.09668445213430747,0.026963560057199378,-0.8640700163153212,17.53353983977362,0.02136539595918263,Baseline
Train,2178,0.009646989890752479,0.0002790068088597775,0.028921644162520688,-0.08904247368697937,0.012461950616852992,0.0031334125985830116,-0.4338738286702807,5.081353745163655,-0.0012028530899553802,Formula_Conservative
Train,2178,0.1589471300759453,0.004047243515358096,0.025462828510488453,-0.06366019543962387,0.19978473392886345,0.06357573185895342,-0.61190477015062,5.752355111225894,0.03270044038524955,Formula_Aggressive
Train,2178,0.04835173602353824,0.0016210105664220648,0.03352538501684689,-0.10135441646247678,0.05859980062689042,0.01599348724011639,-0.7395289377647822,13.475818321236936,0.009192094939952433,HMM_Conservative
Train,2178,0.0534758448463074,0.001804348843299244,0.03374138077640558,-0.1014536424616801,0.06503713983731702,0.017784958721228386,-0.7320385989458209,13.101798170519903,0.010729010696314933,HMM_Aggressive
Train,2178,0.05817057590308647,0.0015831479895052156,0.027215614852133783,-0.08111901109646313,0.07388628810356226,0.01951636204764141,-0.5691061366675552,7.435436438110919,0.010536545372053618,HMM_Proper_Conservative
Train,2178,0.08194327505413566,0.0023348979536201935,0.028494076567938585,-0.0815240229894092,0.10506710338809304,0.02864061252133645,-0.5527478704595903,6.216424833030365,0.016810513630160173,HMM_Proper_Aggressive
Validation,754,0.17583408029737765,0.0032317378697741873,0.018379473787496384,-0.025271275013759475,0.2269842943370191,0.12788186856478748,0.17186673701715013,11.194023591609286,0.009207007133678724,Baseline
Validation,754,0.24032575456303323,0.004262927978134997,0.01773812376408,-0.02047876277803773,0.30738039632250247,0.2081633555864389,0.17606630493864195,12.592397208248231,0.012360595906995897,Formula_Conservative
Validation,754,0.33233046611824946,0.006051631272824874,0.018209679490148185,-0.02766722103529229,0.3723131729649552,0.21872927769310177,-1.4549780146523046,15.220789191183872,0.017766683547698614,Formula_Aggressive
Validation,754,0.209897790274396,0.003724589539590403,0.017744777278128118,-0.02274540386960211,0.2689331133088271,0.16375130382134465,0.04441550935186703,10.893242335019856,0.010730877262989269,HMM_Conservative
Validation,754,0.21068348232880355,0.0037948938550894564,0.018012298890935117,-0.02274540386960211,0.2679580500392911,0.16684222785602448,-0.03946473928949387,10.972078432203778,0.010929030810796547,HMM_Aggressive
Validation,754,0.28168812859929915,0.004675777196748015,0.01659912762386696,-0.019616280942656772,0.35292503995957775,0.23836206314624395,-0.24284640775491265,10.528272984209853,0.01367098357117058,HMM_Proper_Conservative
Validation,754,0.27910701117889697,0.004982650107108173,0.017852113732515603,-0.02362703846931924,0.3380501434487969,0.21088762832372604,-0.61382574972776,12.049696806406658,0.014536546669068784,HMM_Proper_Aggressive
Test,1715,0.14335866241527323,0.004047587876176853,0.028233995825463487,-0.06688762664542403,0.1720992935166242,0.06051325303607196,-0.7491844314179218,18.770504727306953,0.025143373751972398,Baseline
Test,1715,0.19504077970554404,0.004492654139541412,0.023034434882407865,-0.04808028982317658,0.2516566845846159,0.09344066260964544,-0.36317593283338856,7.756565413460329,0.029187581176240984,Formula_Conservative
Test,1715,0.08662425734550286,0.0015156309643497266,0.01749661135107453,-0.0383976762476721,0.1077306248589527,0.03947194498369191,-0.6307668471120883,9.48120640676533,0.009316241163639827,Formula_Aggressive
Test,1715,0.1393866340492364,0.0034895874258517754,0.025035308798827347,-0.057660155359304355,0.17141047019595224,0.06051991022408296,-0.6641092299942792,12.871273810833394,0.02185074902060613,HMM_Conservative
Test,1715,0.1385813658115931,0.003473017755441896,0.0250612175388977,-0.05767313434955701,0.17053379194381385,0.060218987481969105,-0.6622865466771353,12.8128923769172,0.021731016608377285,HMM_Aggressive
Test,1715,0.15725025168687615,0.0032609450611733263,0.020737296291688412,-0.04542208105086232,0.20043307852856726,0.07179206645159687,-0.49258633748909264,7.965577896553166,0.020945679885054247,HMM_Proper_Conservative
