Date,CU,FFR,INFL
2012-06-01,77.1126,0.16,1.653870448297634
2012-07-01,77.1378,0.16,1.4175114798464783
2012-08-01,76.6993,0.13,1.6859349154821235
2012-09-01,76.5385,0.14,1.9497168982819613
2012-10-01,76.6654,0.16,2.1556780595369363
2012-11-01,76.849,0.16,1.7960197033926262
2012-12-01,76.9607,0.16,1.7595049796895523
2013-01-01,76.8466,0.14,1.684061762098299
2013-02-01,77.1172,0.15,2.0181404902574807
2013-03-01,77.3418,0.14,1.5187472411246183
2013-04-01,77.1785,0.15,1.138808047576867
2013-05-01,77.1749,0.11,1.3903888279197085
2013-06-01,77.2476,0.09,1.7157935271568725
2013-07-01,76.9323,0.09,1.885471805415806
2013-08-01,77.3333,0.08,1.538809488600279
2013-09-01,77.6904,0.08,1.0947341081747997
2013-10-01,77.5455,0.09,0.8767991434911471
2013-11-01,77.6904,0.08,1.2328701961954458
2013-12-01,77.8052,0.09,1.5128383667573297
2014-01-01,77.4541,0.07,1.557758795574915
2014-02-01,77.9861,0.07,1.1204746347724948
2014-03-01,78.7,0.08,1.6126949139408042
2014-04-01,78.7032,0.09,2.015125303606169
2014-05-01,78.9551,0.09,2.166947687079812
2014-06-01,79.1445,0.1,2.0589816945944195
2014-07-01,79.236,0.09,1.9742378703305974
2014-08-01,79.0306,0.09,1.7150983482969062
2014-09-01,79.1927,0.09,1.6840509711232077
2014-10-01,79.1358,0.09,1.6095417021513292
2014-11-01,79.5592,0.09,1.231524989320798
2014-12-01,79.5137,0.12,0.6531213919623191
2015-01-01,78.8301,0.11,-0.22993097820542818
2015-02-01,78.2911,0.11,-0.08703146293520536
2015-03-01,77.9964,0.11,-0.022031284423873476
2015-04-01,77.5449,0.12,-0.10403098939391064
2015-05-01,77.1821,0.12,0.03503321824429584
2015-06-01,76.9429,0.13,0.1795718097550525
2015-07-01,77.4307,0.13,0.22568611104094582
2015-08-01,77.308,0.14,0.2413037985344868
2015-09-01,77.1039,0.14,0.008842961634170088
2015-10-01,76.752,0.12,0.12761656067050708
2015-11-01,76.2118,0.12,0.4363182169185187
2015-12-01,75.845,0.24,0.6387247515364791
2016-01-01,76.2263,0.34,1.2375025026943876
2016-02-01,75.8298,0.38,0.8472775790126619
2016-03-01,75.2411,0.36,0.8916160965521946
2016-04-01,75.4701,0.37,1.1726257503534843
2016-05-01,75.2833,0.37,1.0784764621246223
2016-06-01,75.6283,0.38,1.0792865347959424
2016-07-01,75.6916,0.39,0.8683633430518256
2016-08-01,75.5879,0.4,1.0553158595656864
2016-09-01,75.4977,0.4,1.5486446201652182
2016-10-01,75.5318,0.4,1.685924966243646
2016-11-01,75.2309,0.41,1.6843334719788938
2016-12-01,75.7622,0.54,2.0507989115119862
2017-01-01,75.5995,0.65,2.5103933482571117
2017-02-01,75.3306,0.66,2.8103616813294208
2017-03-01,75.8344,0.79,2.44119623655914
2017-04-01,76.6403,0.9,2.176223471915395
2017-05-01,76.764,0.91,1.8563431667619756
2017-06-01,76.9926,1.04,1.640565809959127
2017-07-01,76.878,1.15,1.7251073506566073
2017-08-01,76.6139,1.16,1.92812155729698
2017-09-01,76.7906,1.15,2.1805652303711787
2017-10-01,77.8346,1.15,2.020757753132485
2017-11-01,78.1204,1.16,2.172493864295566
2017-12-01,78.3837,1.3,2.129930719552253
2018-01-01,78.4548,1.41,2.151318868063945
2018-02-01,78.7047,1.42,2.263468931091861
2018-03-01,79.1096,1.51,2.3309497646499366
2018-04-01,80.0436,1.69,2.4709963021052994
2018-05-01,79.3092,1.7,2.781921607842497
2018-06-01,79.9674,1.82,2.8075506935940187
2018-07-01,80.0561,1.91,2.854124785561929
2018-08-01,80.5741,1.91,2.6429238568742575
2018-09-01,80.5711,1.95,2.332055105808828
2018-10-01,80.3884,2.19,2.492032470218053
2018-11-01,80.3962,2.2,2.147328577667773
2018-12-01,80.358,2.27,2.0023809043401064
2019-01-01,79.7599,2.4,1.4875893578291333
2019-02-01,79.2768,2.4,1.5188615351321877
2019-03-01,79.2123,2.41,1.8831863513063984
2019-04-01,78.7037,2.42,2.000583470209061
2019-05-01,78.7358,2.39,1.7959105553606136
2019-06-01,78.7532,2.38,1.671194894390049
2019-07-01,78.2629,2.4,1.826331335037068
2019-08-01,78.7796,2.13,1.7376412106666406
2019-09-01,78.4615,2.04,1.6844977040391562
2019-10-01,77.7295,1.83,1.7339736996186295
2019-11-01,78.1046,1.55,2.092290394862917
2019-12-01,77.9031,1.55,2.3195274699624457
2020-01-01,77.4105,1.55,2.599767976845202
2020-02-01,77.6537,1.58,2.3413166797595197
2020-03-01,74.5527,0.65,1.4940399642909163
2020-04-01,64.6982,0.05,0.3130472940411133
2020-05-01,65.7487,0.05,0.1982013035848551
2020-06-01,70.134,0.08,0.7166562831830481
2020-07-01,72.7591,0.09,0.9968647625897997
2020-08-01,73.5674,0.1,1.2810698495523853
2020-09-01,73.6543,0.09,1.3910228912373812
2020-10-01,74.2728,0.09,1.2303863428671624
2020-11-01,74.7456,0.09,1.1757452138405844
2020-12-01,75.8651,0.09,1.3204191315779434
2021-01-01,76.5008,0.09,1.3553199782346148
2021-02-01,74.0987,0.08,1.667502410800381
2021-03-01,76.3455,0.07,2.623645747764214
2021-04-01,76.6187,0.07,4.137373453318349
2021-05-01,77.4469,0.06,4.9264665639830785
2021-06-01,77.9619,0.08,5.317418943207719
2021-07-01,78.4327,0.1,5.269167647240969
2021-08-01,78.5435,0.09,5.181323173271246
2021-09-01,77.8344,0.08,5.363523425270289
2021-10-01,78.9984,0.08,6.226591220771449
2021-11-01,79.7955,0.08,6.865559520296194
2021-12-01,79.7947,0.08,7.159457345112474
2022-01-01,79.8471,0.08,7.578082463000535
2022-02-01,80.357,0.08,7.949220898953979
2022-03-01,80.9989,0.2,8.540780148538584
2022-04-01,81.1458,0.33,8.235161744022502
2022-05-01,81.1363,0.77,8.530051713089225
2022-06-01,80.9375,1.21,8.999298141923106
2022-07-01,81.0054,1.68,8.447778206754553
2022-08-01,80.9637,2.33,8.216255059541266
2022-09-01,81.0936,2.56,8.205751582451759
2022-10-01,80.8551,3.08,7.757261470809462
2022-11-01,80.4107,3.78,7.131380368978291
2022-12-01,79.2286,4.1,6.410831677385809
2023-01-01,79.7542,4.33,6.340296309929161
2023-02-01,79.6087,4.57,5.957648712766894
2023-03-01,79.4362,4.65,4.931348641757127
2023-04-01,79.5726,4.83,4.946947488062325
2023-05-01,79.2151,5.06,4.125314539356473
2023-06-01,78.5968,5.08,3.0592533347792994
2023-07-01,78.986,5.12,3.28032820234625
2023-08-01,78.8773,5.33,3.7186358677607556
2023-09-01,78.9282,5.33,3.6950823322234427
2023-10-01,78.2711,5.33,3.2465375076767167
2023-11-01,78.4172,5.33,3.139855644977696
2023-12-01,78.1414,5.33,3.322200208829762
2024-01-01,77.1945,5.33,3.1079425939238847
2024-02-01,78.0707,5.33,3.16642120765831
2024-03-01,77.8455,5.33,3.4690014354717524
2024-04-01,77.6572,5.33,3.3540471111874304
2024-05-01,78.0627,5.33,3.238866396761142
2024-06-01,78.1993,5.33,2.9700853998204435
2024-07-01,77.5681,5.33,2.9384633061405374
2024-08-01,77.8658,5.33,2.6109140322338353
2024-09-01,77.4591,5.13,2.432541464144644
2024-10-01,77.0806,4.83,2.5714034967967203
2024-11-01,76.7875,4.64,2.7141684004842848
2024-12-01,77.5136,4.48,2.872366268806581
2025-01-01,77.2923,4.33,2.999412512831112
2025-02-01,77.9359,4.33,2.8142703731568686
2025-03-01,77.588,4.33,2.4055852640280317
2025-04-01,77.5487,4.33,2.3337465177498906
2025-05-01,77.4743,4.33,2.3759340869898393
2025-06-01,77.7883,4.33,2.6726833178446263
2025-07-01,77.3974,4.33,2.7318012794754543
2025-08-01,77.376,4.33,2.9392196249335534
